"ID","Type","Status","Priority","Milestone","Owner","Summary","AllLabels"
"2","Enhancement","Accepted","Medium","Release1.1","chstu...@gmail.com","Failed background backup should display notification","Milestone-Release1.1, Priority-Medium, Type-Enhancement"
"3","Enhancement","Accepted","Medium","Release2.0","chstu...@gmail.com","Implement restore functionality","Milestone-Release2.0, Priority-Medium, Type-Enhancement"
"4","Defect","Accepted","Low","Release1.1","chstu...@gmail.com","""Backup now"" button not selectable by trackpad","Milestone-Release1.1, Priority-Low, Type-Defect"
"5","Defect","Accepted","Medium","","chstu...@gmail.com","G1 gets really slow when backing up >50 messages","Priority-Medium, Type-Defect"
"7","Enhancement","Accepted","Low","","chstu...@gmail.com","Delete old SMS from phone periodically","Priority-Low, Type-Enhancement"
"8","Defect","Accepted","Medium","Release1.1","chstu...@gmail.com","Can't view SMS label in Apple Mail with [Gmail] IMAP prefix","Milestone-Release1.1, Priority-Medium, Type-Defect"
"9","Defect","Accepted","Low","","chstu...@gmail.com","Create backup threads by relatedness in time","Priority-Low, Type-Defect"
"10","Other","Accepted","Medium","Release1.1","chstu...@gmail.com","Add unit tests","Milestone-Release1.1, Priority-Medium, Type-Other"
"11","Defect","Accepted","Medium","Release1.1","chstu...@gmail.com","When only a username is supplied append @gmail.com","Milestone-Release1.1, Priority-Medium, Type-Defect"
"12","Enhancement","Accepted","Medium","","chstu...@gmail.com","MMS Enhancement Request","Priority-Medium, Type-Enhancement"
"15","Enhancement","Accepted","Medium","Release1.1","chstu...@gmail.com","Make schedule customizable","Milestone-Release1.1, Priority-Medium, Type-Enhancement"
"28","Defect","Accepted","Medium","","chstu...@gmail.com","java.lang.NullPointerException","Priority-Medium, Type-Defect"
"29","Defect","Accepted","Medium","","chstu...@gmail.com","Login problems for some people","Priority-Medium, Type-Defect"
"30","Defect","Accepted","Low","","chstu...@gmail.com","Chamber of horrors: Unknown server responses","Priority-Low, Type-Defect"
"31","Enhancement","Accepted","Low","","chstu...@gmail.com","Allow use of other IMAP servers","Priority-Low, Type-Enhancement"
"32","Defect","Accepted","Low","","chstu...@gmail.com","Option to limit backup to happen when in wireless range","Priority-Low, Type-Defect"
"34","Defect","New","Medium","","","Backup SMS per thread","Priority-Medium, Type-Defect"
"40","Defect","Accepted","Medium","","","Force Quit: java.lang.IndexOutOfBoundsException: Invalid location 2, size is 2","Priority-Medium, Type-Defect"
"41","Defect","Accepted","High","","chstu...@gmail.com","non-English contact name is not encoded correctly in from or to field","Priority-High, Type-Defect"
"43","Defect","New","Medium","","","Ability to specify which contacts' SMSes will be backed up","Priority-Medium, Type-Defect"
"45","Enhancement","Accepted","Medium","","","Mark sent sms as read, not received","Priority-Medium, Type-Enhancement"
"46","Defect","New","Medium","","","Add fake email address to the relating contact","Priority-Medium, Type-Defect"
"49","Enhancement","Accepted","Low","","chstu...@gmail.com","Have read state mirrored between phone and Gmail.","Priority-Low, Type-Enhancement"
"52","Defect","Accepted","Low","","chstu...@gmail.com","Improper threading for contacts without name","Priority-Low, Type-Defect"
"55","Defect","Accepted","Low","","","Partial Wake Usage is very high","Priority-Low, Type-Defect"
"57","Defect","Accepted","Medium","","chstu...@gmail.com","Backup status not updated after display sleep","Priority-Medium, Type-Defect"
"58","Defect","New","Medium","","","double backups","Priority-Medium, Type-Defect"
"59","Defect","New","Medium","","","crash if ""sms"" exists, as gmail will will not allow the label ""SMS"" to be created.","Priority-Medium, Type-Defect"
"60","Defect","Accepted","Medium","","","numeric chars in label name","Priority-Medium, Type-Defect"
"61","Defect","New","Medium","","","Problem with accents","Priority-Medium, Type-Defect"
"62","Defect","New","Medium","","","French translation (attached)","Priority-Medium, Type-Defect"
"63","Defect","New","Medium","","","Create new thread","Priority-Medium, Type-Defect"
"64","Defect","New","Medium","","","should display different error message if not connected to the internet","Priority-Medium, Type-Defect"
"65","Defect","New","Medium","","","Backup Fails! Error IMAP disabled or authentication (login error)","Priority-Medium, Type-Defect"
"66","Defect","New","Medium","","","Date and time","Priority-Medium, Type-Defect"
"67","Defect","New","Medium","","","In gmail, SMS identity lost while mail subject is correct","Priority-Medium, Type-Defect"
"68","Defect","New","Medium","","","Reply to sms in gmail","Priority-Medium, Type-Defect"
"69","Defect","New","Medium","","","app crash","Priority-Medium, Type-Defect"
"70","Defect","New","Medium","","","Spaces in telephone number generates invalid email address","Priority-Medium, Type-Defect"
"71","Defect","New","Medium","","","Use a display name instead of user's gmail login name","Priority-Medium, Type-Defect"
"72","Defect","New","Medium","","","crash when backing up voicemail sms","Priority-Medium, Type-Defect"
"74","Defect","New","Medium","","","keeps telling me wrong pswrd n won't let me sms backup at all...IMAP is enabled, all settings done as needed.","Priority-Medium, Type-Defect"
"75","Defect","New","Medium","","","keep tellin me to enable my imap ","Priority-Medium, Type-Defect"
"76","Defect","New","Medium","","","Unable to login - Hero - 1.5","Priority-Medium, Type-Defect"
"77","Defect","New","Medium","","","Application crashes when trying to backup a certain message","Priority-Medium, Type-Defect"
"78","Defect","New","Medium","","","Auto backup messages older than specific days","Priority-Medium, Type-Defect"
"79","Defect","New","Medium","","","Repeat initial backup","Priority-Medium, Type-Defect"
"80","Defect","New","Medium","","","force close if manually back up after receive sms notification from mobile banking","Priority-Medium, Type-Defect"
"81","Defect","New","Medium","","","number@unknown.person with Nexus One","Priority-Medium, Type-Defect"
"82","Defect","New","Medium","","","force close due to hidden label","Priority-Medium, Type-Defect"
"83","Defect","New","Medium","","","access to gmail to do backup fails states make sure IMAP is enabled and username password correct","Priority-Medium, Type-Defect"
"84","Defect","New","Medium","","","sms backup fails to log into gmail account","Priority-Medium, Type-Defect"
"85","Defect","New","Medium","","","unable to log in","Priority-Medium, Type-Defect"
"86","Defect","New","Medium","","","backup android SMS to gmail fails","Priority-Medium, Type-Defect"
"87","Defect","New","Medium","","","when trying to backup SMS to gmail account application fails login.                                                                                           ","Priority-Medium, Type-Defect"
"88","Defect","New","Medium","","","when trying to backup SMS to gmail account application fails login.                                                                                           ","Priority-Medium, Type-Defect"
"89","Defect","New","Medium","","","when trying to backup SMS to gmail account application fails login.                                                                                           ","Priority-Medium, Type-Defect"
